iteration no ,109, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,131072B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,1, l1_ist_aso_str,1
iteration no ,110, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,131072B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,1, l1_ist_aso_str,2
iteration no ,111, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,131072B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,1, l1_ist_aso_str,7
iteration no ,112, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,131072B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,2, l1_ist_aso_str,1
iteration no ,113, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,131072B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,2, l1_ist_aso_str,2
iteration no ,114, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,131072B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,2, l1_ist_aso_str,7
iteration no ,115, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,131072B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,11, l1_ist_aso_str,1
iteration no ,116, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,131072B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,11, l1_ist_aso_str,2
iteration no ,117, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,131072B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,11, l1_ist_aso_str,7
iteration no ,118, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,65536B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,1, l1_ist_aso_str,1
iteration no ,119, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,65536B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,1, l1_ist_aso_str,2
iteration no ,120, l2_data_size,1048576B,l2_associativity ,1,l2_block_size ,64,l1_data_size,8192B,l1_inst_size,65536B,l1_inst_block_size,64,l1_data_block_size,64,l1_data_asociativity,1, l1_ist_aso_str,7
